word,rawFreq,invDocFreq,rank
and,504906,1.672218002006345,0
the,464628,1.7553531899253145,1
of,381172,1.9533395585156375,2
a,372714,1.975778905838013,3
i,324818,2.113325249870728,4
to,323909,2.116127663196839,5
in,261871,2.3287382592451626,6
my,247995,2.383181690670484,7
for,226785,2.4725878432416275,8
is,225562,2.4779952096218723,9
you,177751,2.7162065807953333,10
me,143888,2.927555056169742,11
on,134152,2.9976167898970933,12
love,132346,3.0111705700193543,13
im,125701,3.0626842043278617,14
with,125494,3.064332326677879,15
all,104110,3.25114224285524,16
be,99789,3.2935323185400844,17
life,96090,3.3313050230527255,18
are,95935,3.3329193965318393,19
at,94902,3.343745495132495,20
not,91950,3.3753453242915716,21
your,86518,3.436237790566757,22
it,86190,3.440036113682594,23
just,75260,3.5756414901766105,24
that,73551,3.5986112321938166,25
by,66067,3.705920896718174,26
dont,63854,3.73999104799708,27
like,63285,3.74894194109749,28
fan,61873,3.7715063782077776,29
but,60894,3.787455627647166,30
from,60563,3.7929061297910445,31
music,58981,3.8193749171985383,32
we,58075,3.834854996685429,33
no,56222,3.867282135967637,34
about,53744,3.912358242471965,35
am,51310,3.9587046103880286,36
do,50920,3.966334501652696,37
an,50672,3.971216785545618,38
who,50569,3.9732515350154327,39
have,49866,3.9872508675429574,40
follow,48689,4.011137143456374,41
one,47312,4.039826312231781,42
if,46204,4.063523900915468,43
world,45018,4.089527865550255,44
this,44060,4.111037933967705,45
sc,43849,4.115838361800852,46
lover,43240,4.129824282570894,47
god,41711,4.165825392354514,48
or,41431,4.172560882445166,49
what,41350,4.174517853872201,50
ig,40596,4.19292073575533,51
own,39288,4.225671146604959,52
can,39228,4.227199497811828,53
will,38587,4.243674843161552,54
up,38227,4.253048203116572,55
more,37583,4.270038454846156,56
as,37449,4.273610268004878,57
out,37179,4.280846189591055,58
live,37153,4.281545753737327,59
its,37129,4.282191939915274,60
make,36919,4.287863951664537,61
so,36731,4.2929691901798765,62
good,36381,4.302543614999137,63
time,35947,4.314544643891976,64
news,35750,4.320040006201885,65
writer,35631,4.323374229881689,66
twitter,35571,4.325059576197859,67
de,35515,4.326635132892129,68
things,35037,4.3401856293773635,69
people,34958,4.342442934429007,70
new,34521,4.355022440832471,71
only,34051,4.368730874602004,72
get,33481,4.385612161588429,73
snapchat,33340,4.389832398019254,74
our,32514,4.41491950952987,75
us,32210,4.4243133119987945,76
18,32126,4.426924604206327,77
sports,31779,4.437784581059433,78
best,31679,4.440936274550448,79
instagram,31380,4.450419528037015,80
always,31313,4.452556928560434,81
here,31288,4.453355637888689,82
student,30278,4.486168899152215,83
know,28552,4.544863289154042,84
girl,28221,4.556523893683978,85
proud,27871,4.5690035536162545,86
never,27870,4.569039433848045,87
tweets,27675,4.576060796747202,88
account,27333,4.588495511942071,89
artist,26114,4.634118706356055,90
enthusiast,26092,4.634961521408052,91
20,26088,4.635114836854884,92
university,26049,4.636610895595284,93
business,25914,4.641806912135283,94
19,25634,4.652670680034269,95
day,25204,4.669587563262093,96
now,25128,4.672607513105556,97
free,24662,4.691326677893563,98
living,24210,4.709824504391935,99
when,24079,4.715250184002805,100
go,24007,4.718244820853743,101
family,23681,4.731917236488017,102
also,23451,4.741677137435599,103
la,23376,4.744880420333558,104
want,22878,4.76641452523842,105
everything,22653,4.776297981852504,106
17,22598,4.778728868554848,107
social,22467,4.784542709406562,108
too,22394,4.787797209503896,109
heart,21986,4.80618438818523,110
official,21767,4.816195213909202,111
y,21589,4.82440634962758,112
man,21502,4.828444321278866,113
real,21442,4.831238659907854,114
art,21180,4.843532935168642,115
media,21053,4.849547207553483,116
than,21032,4.850545187914322,117
was,20389,4.881594735607065,118
football,19947,4.903511519253474,119
views,19766,4.912626985387909,120
work,19680,4.916987383717794,121
mom,19563,4.922950248262727,122
wife,19022,4.950994071281708,123
old,18836,4.960820342960593,124
big,18713,4.96737180584625,125
father,18710,4.967532135055904,126
back,18705,4.967799407541793,127
husband,18525,4.977469104159751,128
food,18366,4.986089146150571,129
u,18303,4.989525294504077,130
21,18301,4.9896345721787565,131
rip,18184,4.99604818879166,132
way,18082,5.001673307026727,133
2,18034,5.004331410264187,134
loves,17939,5.009613161624948,135
professional,17429,5.0384547898023575,136
better,17405,5.0398327540785,137
most,17282,5.046924777922694,138
they,17250,5.048778131864533,139
see,17190,5.052262455947144,140
since,17170,5.053426600432518,141
tweet,17026,5.061848687880037,142
happy,16756,5.077833872257114,143
author,16681,5.082319928169984,144
great,16673,5.08279963076358,145
school,16511,5.092563449892206,146
little,16448,5.096386386069147,147
every,16371,5.101078798469698,148
future,16361,5.101689821340963,149
find,16323,5.104015119170004,150
some,16309,5.104873172667121,151
state,16285,5.106345836613705,152
need,16269,5.107328818814868,153
other,16176,5.1130616130637865,154
e,16138,5.115413535915587,155
years,16071,5.119573869774968,156
first,16069,5.119698325282285,157
games,16000,5.12400155310212,158
high,15932,5.128260610022504,159
how,15915,5.129328214607845,160
youre,15784,5.137593506621587,161
has,15744,5.140130935032004,162
team,15663,5.145289032245377,163
over,15597,5.149511687272214,164
youtube,15502,5.155621227482582,165
politics,15370,5.164172717791398,166
cant,15338,5.166256865999234,167
snap,15255,5.171682957173269,168
much,15246,5.1722731017758194,169
got,15244,5.172404292330288,170
member,15101,5.18182930854825,171
que,15015,5.187540573906608,172
take,14947,5.192079664538224,173
stay,14907,5.194759374053609,174
being,14686,5.209695616312483,175
beautiful,14678,5.2102405012190305,176
college,14459,5.225273217295912,177
director,14339,5.233607177609,178
keep,14320,5.234933113809402,179
